id;login;is_deleted;password;expired_date
1;Forward cutting-edge Games;83122;frictionless engage;2020-04-11T10:39:19
2;SQL Handcrafted parsing;64198;Global Engineer;2020-04-10T13:06:57
3;e-business payment firewall;15220;Architect;2020-04-11T10:32:41
4;AI full-range;83017;Money Market Account;2020-04-10T15:47:49
5;Wooden Specialist;86728;optical;2020-04-10T22:14:47
6;HTTP monitoring Pants;95561;Bolivar Fuerte Refined;2020-04-10T22:54:35
7;Polarised SQL;43392;Rapid Small;2020-04-10T22:59:55
8;Money Market Account Legacy Fresh;60832;human-resource;2020-04-11T00:19:35
9;Cliff lime cross-platform;1244;deposit Refined Steel Mouse;2020-04-10T17:15:19
10;Executive projection;55256;Integrated Handcrafted Granite Towels;2020-04-11T00:56:31
