id;first_name;last_name;middle_name;email;phone_number;hire_date;role
1;Lola;Rodriguez;Investment Account back-end;Lazaro.Jacobs63@hotmail.com;Concrete system;2020-04-11T07:21:42;OWNER
2;Carolyn;Nikolaus;California override;Rogers27@hotmail.com;bandwidth-monitored Sleek;2020-04-10T13:24:38;OWNER
3;Jeromy;Kuhn;reinvent cross-platform;Antonina_Turner@gmail.com;synergy internet solution;2020-04-11T10:53:14;INVESTOR
4;Kelli;Cassin;infrastructures Plastic;Bill_Doyle@gmail.com;lime payment portals;2020-04-11T03:07:46;INVESTOR
5;Karli;Wilkinson;interface;Chandler_Wehner@gmail.com;payment Expressway;2020-04-10T12:00:51;INVESTOR
6;Louie;Lang;Illinois Ergonomic Steel Bike Peso Uruguayo Uruguay Peso en Unidades Indexadas;Hope_Cruickshank98@hotmail.com;white;2020-04-11T06:40:59;OWNER
7;Brent;Emmerich;1080p;Jenifer_Franecki@gmail.com;Kids Checking Account;2020-04-11T09:44:39;OWNER
8;Christop;Abernathy;Rustic Personal Loan Account;Cathy_Green97@yahoo.com;sensor;2020-04-11T07:47:41;INVESTOR
9;Josie;Hyatt;Pataca;Dana.Nader23@yahoo.com;redundant;2020-04-11T05:27:01;INVESTOR
10;Aurelie;Gaylord;deposit;Danny.Wehner@yahoo.com;Metal SMS Configuration;2020-04-10T18:42:37;INVESTOR
